"Season","Squad","Comp","Player","Nation","Pos","Age","MP","Min_Playing_Time","Mn_per_MP_Playing_Time","Min_percent_Playing_Time","Mins_Per_90_Playing_Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team_Success","onG_Team_Success","onGA_Team_Success","Plus_Minus_Team_Success","Plus_Minus90_Team_Success","On_minus_Off_Team_Success","onxG_Team_Success_xG_","onxGA_Team_Success_xG","xGPlus_Minus_Team_Success_xG","xGPlus_Minus90_Team_Success_xG","On_minus_Off_Team_Success_xG","PlayerURL","MP_Playing_Time","LeagueName","LeagueURL","StatType"
"2025-2026","Hoffenheim","Frauen-Bundesliga","Napsugár Sinka","HUN","MF,FW","19-043",4,36,9,5.7,0.4,0,NA,0,4,9,3,2.25,1,2,-1,-2.5,-3.71,1.1,0.4,0.7,1.76,0.72,"https://fbref.com/en/players/600a976b/Napsugar-Sinka",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Hoffenheim","Frauen-Bundesliga","Wiëlle Douma","NED","MF","25-286",1,26,26,4.1,0.3,0,NA,0,1,26,1,3,0,0,0,0,-1.04,0.4,0.1,0.3,0.91,-0.18,"https://fbref.com/en/players/97e2b145/Wielle-Douma",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Hoffenheim","Frauen-Bundesliga","Nadine Bitzer","GER","DF","19-149",0,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/72d8315a/Nadine-Bitzer",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Hoffenheim","Frauen-Bundesliga","Sophia Lindner","AUT","GK","23-098",0,NA,NA,NA,NA,0,NA,0,0,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/defd9090/Sophia-Lindner",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Hoffenheim","Frauen-Bundesliga","Milena Röder","GER","MF","19-116",0,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0d0cf399/Milena-Roder",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Hoffenheim","Frauen-Bundesliga","Juliane Schmid","GER","GK","21-103",0,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/331d42ec/Juliane-Schmid",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Hoffenheim","Frauen-Bundesliga","Svenja Vöhringer","GER","DF","18-052",0,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a6ba146d/Svenja-Vohringer",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Hoffenheim","Frauen-Bundesliga","Leni Wileschek","GER","DF","19-043",0,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ccfe749a/Leni-Wileschek",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Laura Benkarth","GER","GK","33-012",NA,630,90,100,7,7,90,7,0,NA,0,1.86,16,12,4,0.57,NA,8.9,12.7,-3.8,-0.54,NA,"https://fbref.com/en/players/82c4f339/Laura-Benkarth",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Lisa Karl","GER","DF","28-284",NA,630,90,100,7,7,90,7,0,NA,0,1.86,16,12,4,0.57,NA,8.9,12.7,-3.8,-0.54,NA,"https://fbref.com/en/players/3ed2f636/Lisa-Karl",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Julia Stierli","SUI","DF","28-206",NA,630,90,100,7,7,90,7,0,NA,0,1.86,16,12,4,0.57,NA,8.9,12.7,-3.8,-0.54,NA,"https://fbref.com/en/players/3acf52f4/Julia-Stierli",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Meret Felde","GER","MF","26-108",NA,581,83,92.2,6.5,7,83,5,0,NA,0,1.86,12,12,0,0,-7.35,7.4,12.4,-5,-0.77,-2.95,"https://fbref.com/en/players/18c75eec/Meret-Felde",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Luca-Emily Birkholz","GER","FW","21-340",NA,539,77,85.6,6,7,77,1,0,NA,0,1.86,12,8,4,0.67,0.67,7.4,10.2,-2.8,-0.47,0.48,"https://fbref.com/en/players/8492e70b/Luca-Emily-Birkholz",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Nia Szenk","GER","DF","21-174",NA,559,80,88.7,6.2,6,90,5,1,20,0,1.86,16,10,6,0.97,3.5,8.7,10,-1.3,-0.21,2.97,"https://fbref.com/en/players/72f9d4a7/Nia-Szenk",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Greta Stegemann","GER","DF","24-256",NA,540,77,85.7,6,6,89,5,1,7,0,1.86,14,11,3,0.5,-0.5,7.8,10.7,-2.9,-0.48,0.44,"https://fbref.com/en/players/45c1817c/Greta-Stegemann",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Sophie Nachtigall","GER","MF","21-256",NA,429,61,68.1,4.8,6,67,0,1,30,0,1.86,8,9,-1,-0.21,-2.45,4.2,8.5,-4.3,-0.89,-1.1,"https://fbref.com/en/players/f24b9bf7/Sophie-Nachtigall",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Lisa Kolb","AUT","MF,FW","24-175",NA,334,48,53,3.7,5,55,0,2,29,0,1.86,7,8,-1,-0.27,-1.79,3.5,6.5,-2.9,-0.79,-0.52,"https://fbref.com/en/players/1adffcd6/Lisa-Kolb",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Selina Vobian","GER","MF,FW","23-029",NA,440,63,69.8,4.9,4,85,1,3,34,0,1.86,11,8,3,0.61,0.14,6.4,9.5,-3,-0.62,-0.24,"https://fbref.com/en/players/71f80447/Selina-Vobian",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Maj Schneider","GER","MF","18-058",NA,350,50,55.6,3.9,4,73,1,3,19,0,1.86,8,7,1,0.26,-0.71,5.9,7.7,-1.9,-0.48,0.14,"https://fbref.com/en/players/08794339/Maj-Schneider",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Tessa Blumenberg","GER","FW","20-280",NA,281,40,44.6,3.1,4,62,0,3,11,0,1.86,7,4,3,0.96,0.7,3.4,4.7,-1.3,-0.41,0.25,"https://fbref.com/en/players/e7ce33e7/Tessa-Blumenberg",7,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Nicole Ojukwu","AUT","MF","19-332",NA,203,41,32.2,2.3,2,75,1,3,18,2,1.8,8,3,5,2.22,2.43,2.6,3.8,-1.2,-0.55,0,"https://fbref.com/en/players/9e65aa0c/Nicole-Ojukwu",5,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Ingibjörg Sigurðardóttir","ISL","DF","28-019",NA,171,57,27.1,1.9,2,85,1,1,1,2,1.33,1,4,-3,-1.58,-2.95,0.8,4.5,-3.8,-1.98,-1.97,"https://fbref.com/en/players/14682560/Ingibjorg-Sigurdardottir",3,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Leela Egli","SUI","FW,MF","18-319",NA,192,38,30.5,2.1,1,60,0,4,33,2,1.8,9,3,6,2.81,3.22,4.6,4.4,0.2,0.1,0.92,"https://fbref.com/en/players/d798a561/Leela-Egli",5,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Alena Bienz","SUI","MF,FW","22-235",NA,174,29,27.6,1.9,1,62,0,5,22,1,2.17,6,2,4,2.07,2.07,3.4,2.7,0.7,0.38,1.28,"https://fbref.com/en/players/14f0f5e7/Alena-Bienz",6,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Svenja Fölmli","SUI","FW","23-068",NA,90,45,14.3,1,1,75,0,1,15,0,2,1,1,0,0,-0.67,0.8,2.4,-1.6,-1.61,-1.24,"https://fbref.com/en/players/cbb37685/Svenja-Folmli",2,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Aurélie Csillag","SUI","FW,MF","22-275",NA,144,24,22.9,1.6,0,NA,0,6,24,0,1.67,7,5,2,1.25,0.88,4.1,3.2,1,0.61,1.5,"https://fbref.com/en/players/9d59b4de/Aurelie-Csillag",6,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Nora Scherer","GER","MF","19-345",NA,3,3,0.5,0,0,NA,0,1,3,2,3,1,0,1,30,29.57,0.1,0.1,0,1.29,1.85,"https://fbref.com/en/players/2a64d7ec/Nora-Scherer",1,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Rebecca Adamczyk","GER","GK","20-206",NA,NA,NA,NA,NA,0,NA,0,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7675a63b/Rebecca-Adamczyk",0,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Sarah Dübel","GER","GK","27-214",NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d738f6b5/Sarah-Dubel",0,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Freiburg","Frauen-Bundesliga","Mia-Lena Maas","GER","DF","17-225",NA,NA,NA,NA,NA,0,NA,0,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/eca2045c/Mia-Lena-Maas",0,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Claudia Wenger","AUT","DF","24-173",7,630,90,100,7,7,90,7,0,NA,0,1.86,11,12,-1,-0.14,NA,7.2,9.8,-2.7,-0.38,NA,"https://fbref.com/en/players/2f4f249c/Claudia-Wenger",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Carlotta Wamser","GER","DF","21-359",7,585,84,92.9,6.5,7,84,6,0,NA,0,1.86,9,10,-1,-0.15,-0.15,6.1,8.5,-2.4,-0.37,0.17,"https://fbref.com/en/players/e2b70fe7/Carlotta-Wamser",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Vanessa Fudalla","GER","FW","24-005",7,568,81,90.2,6.3,7,81,3,0,NA,0,1.86,11,7,4,0.63,7.89,7.1,8,-0.9,-0.15,2.39,"https://fbref.com/en/players/c9a0bd2c/Vanessa-Fudalla",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Kristin Kögel","GER","MF","26-035",7,536,77,85.1,6,7,77,3,0,NA,0,1.86,8,9,-1,-0.17,-0.17,5,8.7,-3.7,-0.61,-1.56,"https://fbref.com/en/players/24460a6a/Kristin-Kogel",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Ruby Grant","ENG","MF","23-194",7,467,67,74.1,5.2,7,67,0,0,NA,0,1.86,6,4,2,0.39,2.04,5,5.1,-0.1,-0.01,1.42,"https://fbref.com/en/players/fc1149cc/Ruby-Grant",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Katharina Piljić","GER","MF","22-051",7,548,78,87,6.1,6,84,3,1,45,0,1.86,11,10,1,0.16,2.36,6.9,8.2,-1.3,-0.22,1.27,"https://fbref.com/en/players/48cde73f/Katharina-Piljic",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Friederike Abt","GER","GK","31-111",6,540,90,85.7,6,6,90,6,0,NA,0,2.17,10,7,3,0.5,4.5,6.8,6.9,-0.1,-0.02,2.52,"https://fbref.com/en/players/7c51bea4/Friederike-Abt",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Lilla Turányi","HUN","DF","26-310",6,501,84,79.5,5.6,6,84,5,0,NA,1,2,9,8,1,0.18,1.57,5.9,7,-1.2,-0.21,0.84,"https://fbref.com/en/players/747aebe4/Lilla-Turanyi",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Sofie Zdebel","GER","MF","21-079",6,493,82,78.3,5.5,6,82,4,0,NA,0,2.17,9,7,2,0.37,2.34,6.5,6.4,0.1,0.02,1.87,"https://fbref.com/en/players/d081f844/Sofie-Zdebel",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Estrella Gonzalez","GER","DF","18-341",7,478,68,75.9,5.3,5,82,3,2,35,0,1.86,10,11,-1,-0.19,-0.19,5.6,8.1,-2.5,-0.46,-0.34,"https://fbref.com/en/players/b8209678/Estrella-Gonzalez",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Valentina Mädl","AUT","FW","19-312",7,358,51,56.8,4,5,64,1,2,19,0,1.86,6,4,2,0.5,1.5,4.3,3.7,0.6,0.16,1.25,"https://fbref.com/en/players/0f443d23/Valentina-Madl",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Julia Mickenhagen","GER","DF,FW","20-199",5,250,50,39.7,2.8,2,90,2,3,23,2,1.4,3,7,-4,-1.44,-2.15,2.8,4.3,-1.6,-0.57,-0.31,"https://fbref.com/en/players/b6c9fad5/Julia-Mickenhagen",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Caroline Kehrer","CAN","FW","28-200",5,189,38,30,2.1,1,62,0,4,32,0,2,6,5,1,0.48,0.88,3.4,4.3,-0.8,-0.4,-0.03,"https://fbref.com/en/players/b882fd85/Caroline-Kehrer",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Selina Ostermeier","GER","DF","26-284",2,93,47,14.8,1,1,90,1,1,3,1,2,2,2,0,0,0.17,1.2,1.9,-0.7,-0.7,-0.37,"https://fbref.com/en/players/9f140482/Selina-Ostermeier",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Juliette Vidal","FRA","MF","26-219",3,89,30,14.1,1,1,45,0,2,22,4,1.33,1,2,-1,-1.01,-1.01,0.5,1.6,-1.1,-1.15,-0.89,"https://fbref.com/en/players/3676f205/Juliette-Vidal",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Cornelia Kramer","DEN","FW","22-314",1,65,65,10.3,0.7,1,65,0,0,NA,1,0,0,0,0,0,0.16,0.4,0.8,-0.3,-0.46,-0.09,"https://fbref.com/en/players/09a7077f/Cornelia-Kramer",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Ida Daedelow","GER","MF","18-059",3,55,18,8.7,0.6,1,45,0,2,5,3,2,0,3,-3,-4.91,-5.22,0.2,2.2,-2.1,-3.38,-3.28,"https://fbref.com/en/players/e7078be4/Ida-Daedelow",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Charlotte Voll","GER","GK","26-187",1,NA,0,0,0,1,0,0,0,NA,6,0,0,0,0,NA,NA,0,0,0,NA,NA,"https://fbref.com/en/players/dff2f35d/Charlotte-Voll",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Loreen Bender","GER","MF","20-066",4,114,29,18.1,1.3,0,NA,0,4,29,0,2.5,5,1,4,3.16,4.03,2.6,1.2,1.4,1.14,1.86,"https://fbref.com/en/players/7d5a7c01/Loreen-Bender",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Anne Moll","GER","GK","20-203",1,88,88,14,1,0,NA,0,1,88,0,0,1,5,-4,-4.09,-4.59,0.4,3,-2.5,-2.6,-2.58,"https://fbref.com/en/players/0774c8e8/Anne-Moll",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Paulina Bartz","GER","MF,FW","20-170",3,59,20,9.4,0.7,0,NA,0,3,20,2,1,0,5,-5,-7.63,-8.26,0.1,1.6,-1.5,-2.28,-2.1,"https://fbref.com/en/players/72188836/Paulina-Bartz",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Melissa Friedrich","GER","MF","28-173",3,51,17,8.1,0.6,0,NA,0,3,17,3,1.33,2,3,-1,-1.76,-1.76,0.4,1.7,-1.3,-2.28,-2.07,"https://fbref.com/en/players/551733b0/Melissa-Friedrich",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Vanessa Haim","GER","FW,MF","28-178",3,44,15,7,0.5,0,NA,0,3,15,2,2,0,3,-3,-6.14,-6.44,0,1.2,-1.2,-2.49,-2.27,"https://fbref.com/en/players/dd343bb3/Vanessa-Haim",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Sana Coşkun","TUR","DF","17-188",0,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b373313f/Sana-Coskun",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Jana Lindner","GER","","18-239",0,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4ec85401/Jana-Lindner",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Bayer Leverkusen","Frauen-Bundesliga","Paula Schwartze","GER","MF","17-360",0,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f5aa6421/Paula-Schwartze",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Géraldine Reuteler","SUI","MF,FW","26-188",7,613,88,97.3,6.8,7,88,3,0,NA,0,1.71,16,11,5,0.73,0.73,13.9,6.4,7.5,1.1,-1.03,"https://fbref.com/en/players/f64daf84/Geraldine-Reuteler",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Amanda Ilestedt","SWE","DF","32-282",7,609,87,96.7,6.8,7,87,6,0,NA,0,1.71,16,12,4,0.59,-3.69,13.8,6.8,7.1,1.04,-2.43,"https://fbref.com/en/players/93514385/Amanda-Ilestedt",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Lina Altenburg","GER","GK","20-217",6,540,90,85.7,6,6,90,6,0,NA,1,2,17,9,8,1.33,4.33,13.7,6,7.7,1.28,1.12,"https://fbref.com/en/players/ceb873f4/Lina-Altenburg",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Jella Veit","GER","DF","20-176",6,539,90,85.6,6,6,90,5,0,NA,1,2,17,9,8,1.34,4.3,13.5,5.8,7.7,1.29,1.12,"https://fbref.com/en/players/3107a1d3/Jella-Veit",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Elisa Senß","GER","MF","28-025",7,531,76,84.3,5.9,6,85,4,1,19,0,1.71,15,12,3,0.51,-1.31,13.4,6.7,6.6,1.12,-0.02,"https://fbref.com/en/players/30bfca52/Elisa-Senss",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Lisanne Gräwe","GER","MF","23-180",6,526,88,83.5,5.8,6,88,4,0,NA,1,2,17,9,8,1.37,3.96,13.3,5.9,7.5,1.28,0.92,"https://fbref.com/en/players/2e902693/Lisanne-Grawe",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Nina Lührßen","GER","DF","25-339",7,524,75,83.2,5.8,6,83,4,1,27,0,1.71,15,6,9,1.55,4.94,12.4,3.4,9,1.55,2.52,"https://fbref.com/en/players/e070cdf6/Nina-Luhrssen",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Laura Freigang","GER","FW,MF","27-267",7,478,68,75.9,5.3,6,75,2,1,31,0,1.71,14,8,6,1.13,1.72,10.4,4.6,5.7,1.08,-0.17,"https://fbref.com/en/players/8898987d/Laura-Freigang",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Rebecka Blomqvist","SWE","FW","28-094",6,455,76,72.2,5.1,6,76,1,0,NA,0,1.5,10,7,3,0.59,-0.44,8.8,3.8,5.1,1,-0.43,"https://fbref.com/en/players/fdae87ec/Rebecka-Blomqvist",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Ereleta Memeti","KVX","MF,FW","26-118",7,480,69,76.2,5.3,5,83,2,2,33,0,1.71,16,10,6,1.13,1.72,12.5,5.9,6.6,1.24,0.5,"https://fbref.com/en/players/d782c918/Ereleta-Memeti",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Nadine Riesen","SUI","DF","25-198",5,394,79,62.5,4.4,5,79,3,0,NA,2,2.4,15,3,12,2.74,5.41,10.8,2.4,8.3,1.9,2.07,"https://fbref.com/en/players/6660f40b/Nadine-Riesen",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Nicole Anyomi","GER","FW","25-258",6,383,64,60.8,4.3,4,81,1,2,29,0,1.5,11,6,5,1.17,1.17,9.6,4.3,5.4,1.26,0.34,"https://fbref.com/en/players/83b0b998/Nicole-Anyomi",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Pia-Sophie Wolter","GER","DF","27-347",4,209,52,33.2,2.3,2,77,1,2,28,3,0.75,2,9,-7,-3.01,-5.58,4,4.6,-0.6,-0.26,-2.06,"https://fbref.com/en/players/8ddc3ad5/Pia-Sophie-Wolter",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
"2025-2026","Eintracht Frankfurt","Frauen-Bundesliga","Remina Chiba","JPN","FW","26-179",7,147,21,23.3,1.6,1,59,0,6,15,0,1.71,1,4,-3,-1.84,-3.33,3.2,2.3,0.9,0.55,-0.74,"https://fbref.com/en/players/6780aa6c/Remina-Chiba",NA,"Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","playing_time"
